country_code,average_rating,ride_count
AM,5,137
SY,5,28
AX,5,21
DZ,5,19
SV,5,9
JE,5,8
KE,5,7
MC,5,7
ST,5,7
NP,5,5
OM,5,5
CU,5,5
HN,5,4
GL,5,4
BT,5,2
LS,5,2
MS,5,2
FK,5,2
SR,5,2
BQ,5,2
TL,5,2
NC,5,1
PG,5,1
DM,5,1
BN,5,1
TO,5,1
ML,5,1
FR,4,9072
DE,4,8651
PL,4,4133
NL,4,2928
ES,4,2851
US,4,2794
GB,4,2544
CZ,4,2534
NO,4,1900
AT,4,1880
IT,4,1826
SE,4,1800
HU,4,1578
BE,4,1562
HR,4,1352
RO,4,1346
CA,4,1330
TR,4,1329
CH,4,1252
DK,4,1242
RU,4,1201
FI,4,1035
SI,4,982
LT,4,921
SK,4,869
GR,4,818
IE,4,801
BR,4,791
LV,4,775
RS,4,770
UA,4,759
PT,4,738
EE,4,718
BG,4,714
BA,4,568
AL,4,561
ME,4,486
AR,4,462
NZ,4,428
MA,4,412
AU,4,384
MK,4,377
GE,4,325
JP,4,285
MX,4,279
IS,4,272
CL,4,242
CN,4,220
BY,4,211
TW,4,157
IL,4,142
KZ,4,140
KR,4,134
TH,4,130
UY,4,127
EC,4,124
IR,4,122
KG,4,121
LU,4,121
XK,4,116
CO,4,110
MD,4,109
ID,4,97
PH,4,87
CY,4,85
MY,4,84
VN,4,74
PE,4,69
TJ,4,66
AD,4,60
JO,4,57
AZ,4,56
UZ,4,55
KH,4,53
MN,4,53
IM,4,49
IN,4,44
LA,4,41
CR,4,39
PS,4,37
NA,4,37
MR,4,35
BO,4,34
LI,4,30
PA,4,27
UG,4,23
BW,4,23
IQ,4,22
DO,4,22
SA,4,21
NI,4,21
ZM,4,17
VE,4,17
EG,4,15
BZ,4,15
FO,4,14
MQ,4,14
MT,4,12
TM,4,11
TN,4,10
ZW,4,10
GT,4,10
TZ,4,9
AF,4,8
HK,4,8
PY,4,7
PK,4,6
GG,4,6
GI,4,6
CV,4,6
SN,4,6
GP,4,6
AO,4,6
MZ,4,5
SM,4,5
CM,4,5
DJ,4,4
QA,4,4
SD,4,4
MM,4,4
HT,4,4
SJ,4,4
GY,4,4
TG,4,3
SC,4,2
KI,4,2
SO,4,2
TT,4,2
CW,4,2
KW,4,2
GM,4,2
KP,4,2
GD,4,2
CI,4,2
BD,4,1
BI,4,1
VC,4,1
MU,4,1
ZA,3,61
EH,3,14
PF,3,7
GF,3,6
MW,3,5
SZ,3,5
ET,3,4
AE,3,4
BJ,3,4
SG,2,2
SB,1,1
GS,1,1
